,time,size,src,dst,protocol
334,1541358731.1722045,158,192.168.86.40,52.94.227.146,6
335,1541358731.171903,158,192.168.86.40,52.94.227.146,6
336,1541358731.171622,40,52.94.227.146,192.168.86.40,6
337,1541358731.1713293,40,52.94.227.146,192.168.86.40,6
338,1541358731.1710198,40,52.94.227.146,192.168.86.40,6
339,1541358731.1707234,158,192.168.86.40,52.94.227.146,6
340,1541358731.1704423,40,52.94.227.146,192.168.86.40,6
341,1541358731.170138,40,52.94.227.146,192.168.86.40,6
342,1541358731.1698053,40,52.94.227.146,192.168.86.40,6
343,1541358731.1695025,158,192.168.86.40,52.94.227.146,6
344,1541358731.169207,158,192.168.86.40,52.94.227.146,6
345,1541358731.1689048,158,192.168.86.40,52.94.227.146,6
346,1541358731.168596,158,192.168.86.40,52.94.227.146,6
347,1541358731.1683083,40,52.94.227.146,192.168.86.40,6
348,1541358731.1679258,158,192.168.86.40,52.94.227.146,6
349,1541358731.1676195,158,192.168.86.40,52.94.227.146,6
350,1541358731.1673384,40,52.94.227.146,192.168.86.40,6
351,1541358731.166988,158,192.168.86.40,52.94.227.146,6
352,1541358731.166691,40,52.94.227.146,192.168.86.40,6
353,1541358731.166394,158,192.168.86.40,52.94.227.146,6
354,1541358731.1660955,158,192.168.86.40,52.94.227.146,6
355,1541358731.165792,158,192.168.86.40,52.94.227.146,6
356,1541358731.1655064,40,52.94.227.146,192.168.86.40,6
357,1541358731.165209,158,192.168.86.40,52.94.227.146,6
358,1541358731.1649287,40,52.94.227.146,192.168.86.40,6
359,1541358731.164596,158,192.168.86.40,52.94.227.146,6
360,1541358731.1643004,158,192.168.86.40,52.94.227.146,6
361,1541358731.1639998,158,192.168.86.40,52.94.227.146,6
362,1541358731.163724,40,52.94.227.146,192.168.86.40,6
363,1541358731.163422,158,192.168.86.40,52.94.227.146,6
364,1541358731.1631355,40,52.94.227.146,192.168.86.40,6
365,1541358731.1627975,158,192.168.86.40,52.94.227.146,6
366,1541358731.1624982,158,192.168.86.40,52.94.227.146,6
367,1541358731.1621828,158,192.168.86.40,52.94.227.146,6
368,1541358731.1618898,40,52.94.227.146,192.168.86.40,6
369,1541358731.1615872,158,192.168.86.40,52.94.227.146,6
370,1541358731.1613095,40,52.94.227.146,192.168.86.40,6
371,1541358731.1610117,158,192.168.86.40,52.94.227.146,6
372,1541358731.1607046,158,192.168.86.40,52.94.227.146,6
373,1541358731.1604033,158,192.168.86.40,52.94.227.146,6
374,1541358731.160117,40,52.94.227.146,192.168.86.40,6
375,1541358731.1597896,158,192.168.86.40,52.94.227.146,6
376,1541358731.1594672,40,52.94.227.146,192.168.86.40,6
377,1541358731.159161,158,192.168.86.40,52.94.227.146,6
378,1541358731.1588361,158,192.168.86.40,52.94.227.146,6
379,1541358731.1584868,158,192.168.86.40,52.94.227.146,6
380,1541358731.1581717,158,192.168.86.40,52.94.227.146,6
381,1541358731.1578386,40,52.94.227.146,192.168.86.40,6
382,1541358731.1575615,40,52.94.227.146,192.168.86.40,6
383,1541358731.157264,158,192.168.86.40,52.94.227.146,6
384,1541358731.1569307,158,192.168.86.40,52.94.227.146,6
385,1541358731.1566267,158,192.168.86.40,52.94.227.146,6
386,1541358731.1563487,40,52.94.227.146,192.168.86.40,6
387,1541358731.1560428,158,192.168.86.40,52.94.227.146,6
388,1541358731.1557605,40,52.94.227.146,192.168.86.40,6
389,1541358731.1554601,158,192.168.86.40,52.94.227.146,6
390,1541358731.1551363,158,192.168.86.40,52.94.227.146,6
391,1541358731.1548362,158,192.168.86.40,52.94.227.146,6
392,1541358731.1544976,158,192.168.86.40,52.94.227.146,6
393,1541358731.1542046,40,52.94.227.146,192.168.86.40,6
394,1541358731.1539166,40,52.94.227.146,192.168.86.40,6
